,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
63753,ELEC,Ontario Charging Network,ON,K9A 5X2,43.9577774,-78.1696619
63754,ELEC,Ontario Charging Network,ON,K9A 4B4,43.9748376,-78.160743
63755,ELEC,Ontario Charging Network,ON,K0K 1C0,44.0195387,-78.1444231
63756,ELEC,Ontario Charging Network,ON,K0L 1E0,44.0868303,-78.3273859
63757,ELEC,Ontario Charging Network,ON,K9A 4J7,44.0240619,-78.2149567
63758,ELEC,Ontario Charging Network,ON,K0L 1B0,44.0893401,-78.3214329
63759,ELEC,Ontario Charging Network,ON,K7A 2B8,44.9025647,-76.0232499
63760,ELEC,Ontario Charging Network,ON,K7A 1T7,44.9050028,-76.0296283
63761,ELEC,Ontario Charging Network,ON,K7A 1C4,44.9004386,-76.0197975
63762,ELEC,Ontario Charging Network,ON,L7G 4A3,43.6504378,-79.9151386
63763,ELEC,Ontario Charging Network,ON,L7J 1Z7,43.6305389,-80.0434108
63764,ELEC,Ontario Charging Network,ON,L7G 4S5,43.6185853,-79.884585
63765,ELEC,Ontario Charging Network,ON,L7J 1Y5,43.629419,-80.0460008
63766,ELEC,Ontario Charging Network,ON,L7G 4S4,43.6396936,-79.9402519
63767,ELEC,Ontario Charging Network,ON,L3Y 3Y9,44.0536397,-79.4561264
63768,ELEC,Ontario Charging Network,ON,L3Y 1T1,44.0526992,-79.4601399
63769,ELEC,Ontario Charging Network,ON,L1A 3Z9,43.9491638,-78.2956475
63770,ELEC,Ontario Charging Network,ON,L1A 1L2,43.956745,-78.2847728
63771,ELEC,Ontario Charging Network,ON,K0L 1Y0,44.310916,-77.958099
63772,ELEC,Ontario Charging Network,ON,K0K 3K0,44.201323,-77.8814
63773,ELEC,Ontario Charging Network,ON,K0K 1L0,44.306792,-77.798814
63774,ELEC,Ontario Charging Network,ON,L4G 2W3,44.0046286,-79.4738077
63775,ELEC,Ontario Charging Network,ON,L4G 1M1,43.9973264,-79.4675498
63776,ELEC,BC Hydro,BC,V8W 1L3,48.246427,-123.366267
63777,ELEC,Ontario Charging Network,ON,N0N 2P0,44.5617668,-80.4521811
63778,ELEC,Ontario Charging Network,ON,N0N 2P0,44.5548783,-80.4634607
63779,ELEC,Ontario Charging Network,ON,N0N 2P0,44.5603202,-80.4625013
63780,ELEC,Ontario Charging Network,ON,N0N 2P0,44.5618595,-80.4541702
63781,ELEC,Ontario Charging Network,ON,N0N 2P0,44.5567185,-80.4443198
63782,ELEC,Ontario Charging Network,ON,K0K 1H0,44.0428519,-77.7378293
