,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
26327,ELEC,Two Corporate Drive,Corporate Drive,South San Francisco,CA,94080,37.6577593,-122.4016102
26328,ELEC,225 Gateway Blvd/Service Decline,225 Gateway Boulevard,South San Francisco,CA,94080,37.6561623,-122.4036319
26329,ELEC,Hotel Focus SFO,111 Mitchell Avenue,South San Francisco,CA,94080,37.6496413,-122.4042951
26331,ELEC,Bayhill III Office Center,"801 Traeger Avenue
Suite 110",San Bruno,CA,94066,37.6271757,-122.4224334
26333,ELEC,Kaiser Milpitas,770 East Calaveras Boulevard,Milpitas,CA,95035,37.4327334,-121.8915696
26336,ELEC,Hyatt House - San Jose/Silicon Valley,75 Headquarters Drive,San Jose,CA,95134,37.4165665,-121.9529547
26339,ELEC,Anton 1101 Apartments,1101 North Fair Oaks Avenue,Sunnyvale,CA,94089,37.4009562,-122.0121754
26340,ELEC,531407 : 250 University Ave.,250 University Avenue,Palo Alto,CA,94301,37.4452775,-122.1618767
26341,ELEC,Stanford Park Hotel,100 El Camino Real,Menlo Park,CA,94025,37.4476556,-122.1727157
26342,ELEC,660 Stanford Shopping Center,660 Stanford Shopping Center,Palo Alto,CA,94304,37.441490216582,-122.17111340608
26344,ELEC,303 Almaden,"303 Almaden Boulevard, Suite 120",San Jose,CA,95110,37.3287939,-121.8917449
26345,ELEC,W. El Camino Real,2440 W El Camino Real,Mountain View,CA,94040,37.3986446,-122.1082064
26346,ELEC,Midpeninsula Regional Openspace District Admin Office,330 Distel Circle,Los Altos,CA,94022,37.3964543,-122.1059893
26347,ELEC,Quora Stations 3 & 4,605 Castro Street,Mountain View,CA,94041,37.388047556966,-122.08224654712
26348,ELEC,1580 Building,"1580 W. El Camino Real
Suite 14",Mountain View,CA,94040,37.3899235,-122.0921523
26350,ELEC,Maple Tree Inn Silicon Valley,711 E. El Camino Real,Sunnyvale,CA,94087,37.3598392,-122.0216952
26353,ELEC,SB Animal Hospital,5188 Moorpark Ave.,San Jose,CA,95129,37.3094612,-121.9951423
26354,ELEC,Kaiser San Jose Medical Center,250 Hospital Parkway,San Jose,CA,95119,37.2397615,-121.8002485
26381,ELEC,Hanford High,120 E. Grangeville Boulevard,Hanford,CA,93230,36.3426862,-119.6456724
26383,ELEC,Transportation,8710 E. Lacey Boulevard,Hanford,CA,93230,36.3284486,-119.6136373
26388,ELEC,Hanford West,1150 West Lacey Boulevard,Hanford,CA,93230,36.3302428,-119.6621343
26411,ELEC,Bodega Bay Lodge,103 Coast Highway One,Bodega Bay,CA,94923,36.7606931,-121.7657346
